n,t,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.204963,0.066208,0.342657,,,,,,,,,,,,,,,,,,,,,,,,
1,0.004673,0.204956,0.066222,0.342651,,,,,,,,,,,,,,,,,,,,,,,,
2,0.009346,0.204957,0.06623,0.342649,,,,,,,,,,,,,,,,,,,,,,,,
3,0.014019,0.204962,0.06622,0.34265,,,,,,,,,,,,,,,,,,,,,,,,
4,0.018692,0.204952,0.066228,0.342652,,,,,,,,,,,,,,,,,,,,,,,,
5,0.023364,0.204965,0.066213,0.342654,,,,,,,,,,,,,,,,,,,,,,,,
6,0.028037,0.204962,0.066216,0.342656,,,,,,,,,,,,,,,,,,,,,,,,
7,0.03271,0.20496,0.066214,0.342651,,,,,,,,,,,,,,,,,,,,,,,,
8,0.037383,0.204973,0.066201,0.342662,,,,,,,,,,,,,,,,,,,,,,,,
9,0.042056,0.20497,0.066212,0.342655,,,,,,,,,,,,,,,,,,,,,,,,
10,0.046729,0.204977,0.066196,0.342664,,,,,,,,,,,,,,,,,,,,,,,,
11,0.051402,0.204983,0.066187,0.342662,,,,,,,,,,,,,,,,,,,,,,,,
12,0.056075,0.204981,0.066192,0.342661,,,,,,,,,,,,,,,,,,,,,,,,
13,0.060748,0.204968,0.066208,0.342656,,,,,,,,,,,,,,,,,,,,,,,,
14,0.065421,0.204981,0.066194,0.342661,,,,,,,,,,,,,,,,,,,,,,,,
15,0.070093,0.204982,0.066185,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
16,0.074766,0.204986,0.066182,0.34267,,,,,,,,,,,,,,,,,,,,,,,,
17,0.079439,0.204988,0.066188,0.342666,,,,,,,,,,,,,,,,,,,,,,,,
18,0.084112,0.204979,0.066192,0.342666,,,,,,,,,,,,,,,,,,,,,,,,
19,0.088785,0.204976,0.066196,0.342667,,,,,,,,,,,,,,,,,,,,,,,,
20,0.093458,0.204977,0.066198,0.342667,,,,,,,,,,,,,,,,,,,,,,,,
21,0.098131,0.204959,0.066225,0.342655,,,,,,,,,,,,,,,,,,,,,,,,
22,0.102804,0.204963,0.066213,0.342662,,,,,,,,,,,,,,,,,,,,,,,,
23,0.107477,0.204954,0.066231,0.34265,,,,,,,,,,,,,,,,,,,,,,,,
24,0.11215,0.204943,0.066247,0.342643,,,,,,,,,,,,,,,,,,,,,,,,
25,0.116822,0.204943,0.066249,0.342641,,,,,,,,,,,,,,,,,,,,,,,,
26,0.121495,0.204938,0.066259,0.342633,,,,,,,,,,,,,,,,,,,,,,,,
27,0.126168,0.20495,0.066231,0.342646,,,,,,,,,,,,,,,,,,,,,,,,
28,0.130841,0.204948,0.06624,0.342638,,,,,,,,,,,,,,,,,,,,,,,,
29,0.135514,0.204954,0.066234,0.342641,,,,,,,,,,,,,,,,,,,,,,,,
30,0.140187,0.204952,0.066226,0.342644,,,,,,,,,,,,,,,,,,,,,,,,
31,0.14486,0.204967,0.066203,0.342651,,,,,,,,,,,,,,,,,,,,,,,,
32,0.149533,0.204965,0.066203,0.342657,,,,,,,,,,,,,,,,,,,,,,,,
33,0.154206,0.204983,0.066185,0.342667,,,,,,,,,,,,,,,,,,,,,,,,
34,0.158879,0.204998,0.066159,0.342674,,,,,,,,,,,,,,,,,,,,,,,,
35,0.163551,0.205,0.066153,0.342683,,,,,,,,,,,,,,,,,,,,,,,,
36,0.168224,0.205007,0.066153,0.342685,,,,,,,,,,,,,,,,,,,,,,,,
37,0.172897,0.205019,0.066131,0.342695,,,,,,,,,,,,,,,,,,,,,,,,
38,0.17757,0.205027,0.06612,0.342697,,,,,,,,,,,,,,,,,,,,,,,,
39,0.182243,0.205029,0.06611,0.342704,,,,,,,,,,,,,,,,,,,,,,,,
40,0.186916,0.205036,0.066093,0.342709,,,,,,,,,,,,,,,,,,,,,,,,
41,0.191589,0.205035,0.066102,0.342712,,,,,,,,,,,,,,,,,,,,,,,,
42,0.196262,0.205035,0.066098,0.342706,,,,,,,,,,,,,,,,,,,,,,,,
43,0.200935,0.205034,0.066104,0.342707,,,,,,,,,,,,,,,,,,,,,,,,
44,0.205607,0.205028,0.066109,0.342709,,,,,,,,,,,,,,,,,,,,,,,,
45,0.21028,0.205021,0.066113,0.342705,,,,,,,,,,,,,,,,,,,,,,,,
46,0.214953,0.205005,0.066136,0.342696,,,,,,,,,,,,,,,,,,,,,,,,
47,0.219626,0.204998,0.066149,0.342685,,,,,,,,,,,,,,,,,,,,,,,,
48,0.224299,0.20498,0.066175,0.342682,,,,,,,,,,,,,,,,,,,,,,,,
49,0.228972,0.204961,0.066199,0.342664,,,,,,,,,,,,,,,,,,,,,,,,
50,0.233645,0.204965,0.0662,0.342665,,,,,,,,,,,,,,,,,,,,,,,,
51,0.238318,0.20495,0.066225,0.342651,,,,,,,,,,,,,,,,,,,,,,,,
52,0.242991,0.204948,0.06623,0.34265,,,,,,,,,,,,,,,,,,,,,,,,
53,0.247664,0.204948,0.066239,0.342645,,,,,,,,,,,,,,,,,,,,,,,,
54,0.252336,0.204939,0.066253,0.342631,,,,,,,,,,,,,,,,,,,,,,,,
55,0.257009,0.204929,0.066274,0.342624,,,,,,,,,,,,,,,,,,,,,,,,
56,0.261682,0.204926,0.066278,0.342622,,,,,,,,,,,,,,,,,,,,,,,,
57,0.266355,0.204939,0.066277,0.342625,,,,,,,,,,,,,,,,,,,,,,,,
58,0.271028,0.204942,0.066269,0.342626,,,,,,,,,,,,,,,,,,,,,,,,
59,0.275701,0.204929,0.066292,0.342616,,,,,,,,,,,,,,,,,,,,,,,,
60,0.280374,0.204934,0.066283,0.342623,,,,,,,,,,,,,,,,,,,,,,,,
61,0.285047,0.204932,0.066283,0.342626,,,,,,,,,,,,,,,,,,,,,,,,
