,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N),"Min Laminate Length (m, 2*r)"
0,0.0,0.0,0.0,2.8760000000000938e-05,1.4380000000000469e-05,-0.0009586666666666979,0.0,-0.0009586666666666979,0.03
1,-0.8799999999999999,-1.7599999999999922,-0.030717794835100065,0.00991976,0.004961050198538282,-0.3306976709841453,-0.010156705751538288,-0.3305416629150018,0.03000353878377408
2,-1.7599999999999998,-3.52000000000001,-0.061435589670200574,0.022747760000000002,0.011384618953654772,-0.7586165473327673,-0.046576742666303045,-0.7571853623318968,0.030014159310608624
3,-2.6399999999999997,-5.280000000000002,-0.09215338450530064,0.03652376,0.01830070603731228,-1.2187521807500443,-0.11215324209056515,-1.2135808701407433,0.03003187411906769
4,-3.5199999999999996,-7.039999999999995,-0.1228711793404007,0.04856076,0.024372253293607687,-1.621751551632502,-0.19876550545879884,-1.6095248892335081,0.030056704146913096
5,-4.3999999999999995,-8.800000000000011,-0.15358897417550121,0.060100759999999996,0.030228297996768946,-2.0092805141875987,-0.3073914597922122,-1.985628030407708,0.030088678791563347
6,-5.279999999999999,-10.560000000000004,-0.18430676901060128,0.07009876,0.035348721245350774,-2.3465821608291613,-0.43004658506211463,-2.3068393468549275,0.030127835995190855
7,-6.159999999999999,-12.319999999999997,-0.21502456384570134,0.08070276,0.040821415055123295,-2.7057144721061106,-0.5773221567064716,-2.6434049882566684,0.030174222354916975
8,-7.039999999999999,-14.07999999999999,-0.2457423586808014,0.09015875999999999,0.045766867134796684,-3.028121526241061,-0.7366706482629553,-2.937147652684885,0.03022789325870226
9,-7.919999999999999,-15.840000000000007,-0.2764601535159019,0.09962475999999999,0.05077642963081363,-3.3528063255947567,-0.9151549759858205,-3.2254924626910237,0.030288913047672898
10,-8.799999999999999,-17.599999999999998,-0.307177948351002,0.10718475999999999,0.05487675205878179,-3.6153842577395814,-1.093183343033594,-3.4461505349628996,0.030357355205773873
11,-9.68,-19.359999999999992,-0.33789574318610205,0.11512776,0.05923872704298715,-3.893019950204478,-1.2905460693194977,-3.6728864909841783,0.03043330257779731
12,-8.8,-17.599999999999998,-0.307177948351002,0.09754476,0.04994123800019122,-3.29022325309107,-0.9948644455817188,-3.1362100998017595,0.030357355205773873
13,-9.68,-19.359999999999992,-0.33789574318610205,0.10864576,0.055903428686685915,-3.6738325420830535,-1.2178848829876434,-3.4660931838394946,0.03043330257779731
14,-10.559999999999999,-21.120000000000008,-0.36861353802120256,0.11844976,0.06128314123814104,-4.016348084655985,-1.4471803754906774,-3.7465612096847507,0.030516847617001387
15,-11.439999999999998,-22.880000000000003,-0.3993313328563026,0.12870876,0.06698971592313617,-4.377255169679615,-1.7018871931401534,-4.032857895130009,0.03060809266371344
16,-12.319999999999997,-24.639999999999993,-0.4300491276914027,0.13680976,0.07166772261352237,-4.6678198409732445,-1.9460862436632662,-4.242792759493219,0.030707150256501583
17,-13.199999999999996,-26.399999999999984,-0.46076692252650275,0.14596176,0.07699575592734953,-4.997429572109239,-2.222032993258846,-4.476256438706463,0.030814143477704812
18,-14.079999999999995,-28.15999999999998,-0.4914847173616028,0.15391376,0.08179796408399916,-5.289367156541144,-2.4962395195223466,-4.663281374512049,0.030929206335333692
19,-14.959999999999994,-29.919999999999995,-0.5222025121967033,0.16141276000000002,0.08646852624199312,-5.56918575214497,-2.777855906856437,-4.8269396622122125,0.03105248418359535
20,-15.839999999999993,-31.67999999999999,-0.5529203070318034,0.16803076,0.09077863907896706,-5.8221041855261575,-3.0576214112298095,-4.954578534316539,0.03118413418455966
21,-14.959999999999994,-29.919999999999995,-0.5222025121967033,0.15788276,0.08457751156859161,-5.447391008624868,-2.717105868562046,-4.721377394349317,0.03105248418359535
22,-15.839999999999993,-31.67999999999999,-0.5529203070318034,0.16998476,0.09183428782304405,-5.889808405744635,-3.093177950029866,-5.012194452116677,0.03118413418455966
23,-16.71999999999999,-33.43999999999998,-0.5836381018669035,0.17862676,0.09737276017289412,-6.217069810331537,-3.425999874210087,-5.187916912253731,0.03132432581377159
24,-17.59999999999999,-35.199999999999974,-0.6143558967020035,0.18563176,0.10215572801600804,-6.491592440430225,-3.741963666067513,-5.304571644768448,0.03147324141293065
25,-18.47999999999999,-36.959999999999994,-0.645073691537104,0.19473176,0.10824110993983356,-6.843972505129733,-4.114988592401581,-5.468713608827637,0.031631076793106366
26,-19.35999999999999,-38.719999999999985,-0.6757914863722041,0.20280576,0.11392224498525368,-7.165362280542658,-4.482041872396196,-5.590502416197552,0.03179804189234266
27,-20.239999999999988,-40.479999999999976,-0.7065092812073042,0.21129976,0.12001354380876618,-7.506861010441905,-4.8733233760438885,-5.709963353875142,0.0319743614919284
28,-21.119999999999987,-42.23999999999997,-0.7372270760424042,0.21865676,0.12564058150099694,-7.813401944454715,-5.2524626081635795,-5.784538572388654,0.03216027599608283
29,-21.999999999999986,-43.99999999999996,-0.7679448708775043,0.22521976000000002,0.13099200050835755,-8.09691119658357,-5.624587137569948,-5.824430483510218,0.0323560422803275
30,-22.879999999999985,-45.75999999999998,-0.7986626657126048,0.23332276000000002,0.137437421854489,-8.44160050574583,-6.047762836440989,-5.889412854671635,0.03256193461439957
31,-23.759999999999984,-47.51999999999997,-0.8293804605477049,0.24025776000000001,0.1434089745245674,-8.750253200548558,-6.453426515609902,-5.909333065696442,0.03277824566621158
32,-24.639999999999983,-49.27999999999999,-0.8600982553828054,0.24724276,0.1496298086833952,-9.067020443729586,-6.871955223547749,-5.91498868406061,0.03300528759409021
33,-25.519999999999982,-51.03999999999998,-0.8908160502179054,0.25448976,0.1562458535335995,-9.400114628941843,-7.309389266934089,-5.910582338625795,0.033243393235341395
34,-26.39999999999998,-52.79999999999997,-0.9215338450530055,0.26104176,0.16268347500764344,-9.71450011739739,-7.737889982156585,-5.873378172308903,0.03349291740010353
35,-27.27999999999998,-54.55999999999997,-0.9522516398881056,0.27440176,0.1736884786742367,-10.291358212914263,-8.384608116189552,-5.967445065054736,0.03375423828047908
36,-26.39999999999998,-52.79999999999997,-0.9215338450530055,0.26089276,0.1625906169232659,-9.70895517885004,-7.733473272710015,-5.870025707371209,0.03349291740010353
37,-27.27999999999998,-54.55999999999997,-0.9522516398881056,0.27080476000000003,0.1714116803847825,-10.15645377391995,-8.274698342309335,-5.8892207129259395,0.03375423828047908
38,-28.15999999999998,-56.31999999999996,-0.9829694347232056,0.27753476,0.1785301522769391,-10.493206581714746,-8.731898233438642,-5.8190495450213175,0.034027758986093386
39,-29.039999999999978,-58.07999999999995,-1.0136872295583057,0.28557876,0.18680727887261908,-10.888137383758197,-9.241711383317867,-5.756935503811534,0.03431390921853704
40,-29.919999999999977,-59.83999999999994,-1.0444050243934058,0.29295276000000003,0.19498772174018147,-11.266685527587581,-9.741466598685072,-5.660568106140458,0.03461314709862718
41,-30.799999999999976,-61.59999999999993,-1.0751228192285058,0.29901376,0.20263543940390827,-11.603714409658734,-10.207190820408092,-5.519007488371303,0.03492596116209789
42,-31.679999999999975,-63.35999999999993,-1.105840614063606,0.30916076000000003,0.2134523215717671,-12.109783185589329,-10.824225848770187,-5.429823530907554,0.03525287254123193
43,-32.559999999999974,-65.11999999999992,-1.136558408898706,0.30953676,0.2178732902435692,-12.241985346660622,-11.105818050289821,-5.150437909703423,0.035594437352108224
44,-31.679999999999975,-63.35999999999993,-1.105840614063606,0.29450176,0.203331381314276,-11.535592231609417,-10.31099018873001,-5.1723659443122365,0.03525287254123193
45,-30.799999999999976,-61.59999999999993,-1.0751228192285058,0.27653676,0.18740324148939874,-10.731457932947093,-9.439911655495035,-5.104141191528902,0.03492596116209789
46,-29.919999999999977,-59.83999999999994,-1.0444050243934058,0.25999476,0.1730510609177577,-9.999152080835852,-8.645524522018981,-5.0237384560556535,0.03461314709862718
47,-29.039999999999978,-58.07999999999995,-1.0136872295583057,0.24500275999999999,0.1602650663231445,-9.341113849923355,-7.928617646621533,-4.938970557809749,0.03431390921853704
48,-28.15999999999998,-56.31999999999996,-0.9829694347232056,0.23094876,0.1485627144180796,-8.73185415935236,-7.266192780532589,-4.842284536903548,0.034027758986093386
49,-27.27999999999998,-54.55999999999997,-0.9522516398881056,0.21787676,0.1379097677174949,-8.171404525354173,-6.657432700960385,-4.738189712238417,0.03375423828047908
50,-26.39999999999998,-52.79999999999997,-0.9215338450530055,0.20534376000000001,0.12797200129180686,-7.6417351025629845,-6.086870634807115,-4.620186279022323,0.03349291740010353
51,-25.519999999999982,-51.03999999999998,-0.8908160502179054,0.19428776,0.1192843943596439,-7.176427118326262,-5.580282945925473,-4.512377247977158,0.033243393235341395
52,-24.639999999999983,-49.27999999999999,-0.8600982553828054,0.18288176,0.11067892447278374,-6.706738982792651,-5.083082173664482,-4.375228382505876,0.03300528759409021
53,-23.759999999999984,-47.51999999999997,-0.8293804605477049,0.17129376000000002,0.10224461621575663,-6.238565495965652,-4.601023886772768,-4.213107955037418,0.03277824566621158
54,-22.879999999999985,-45.75999999999998,-0.7986626657126048,0.16064976,0.09462981166493321,-5.812296645487762,-4.164067184063673,-4.055038443930258,0.03256193461439957
55,-21.999999999999986,-43.99999999999996,-0.7679448708775043,0.15018376,0.08734966757031909,-5.399280098198398,-3.7506551146661913,-3.883917067810491,0.0323560422803275
56,-21.119999999999987,-42.23999999999997,-0.7372270760424042,0.13957676000000002,0.0802010662301275,-4.987585693598906,-3.3528426601977555,-3.6924865804699296,0.03216027599608283
57,-20.239999999999988,-40.479999999999976,-0.7065092812073042,0.13120376,0.07452080493908202,-4.661284945933574,-3.0260249733972824,-3.5455253782144815,0.0319743614919284
