,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N),"Min Laminate Length (m, 2*r)"
0,0.0,0.0,0.0,0.00045811999999999936,0.00022905999999999968,-0.015270666666666646,0.0,-0.015270666666666646,0.03
1,-0.8799999999999999,-1.7599999999999922,-0.030717794835100065,0.008387119999999998,0.004194549398489922,-0.27960364467129695,-0.008587456747223905,-0.2794717404319933,0.03000353878377408
2,-1.7599999999999998,-3.52000000000001,-0.061435589670200574,0.017074119999999998,0.008545120494016817,-0.5694059530760543,-0.0349597891613758,-0.5683317275502415,0.030014159310608624
3,-2.6399999999999997,-5.280000000000002,-0.09215338450530064,0.02545312,0.012753617558883148,-0.8493387730861381,-0.07815870899710779,-0.845734927548444,0.03003187411906769
4,-3.5199999999999996,-7.039999999999995,-0.1228711793404007,0.034108120000000006,0.01711858998929931,-1.1390863020526776,-0.13960897053607413,-1.1304985355452264,0.030056704146913096
5,-4.3999999999999995,-8.800000000000011,-0.15358897417550121,0.039727120000000005,0.019981165328248757,-1.3281517255487691,-0.20318840244516695,-1.3125172300545063,0.030088678791563347
6,-5.279999999999999,-10.560000000000004,-0.18430676901060128,0.04821812,0.024314964813284472,-1.6141195681738136,-0.2958117639187234,-1.5867820835542958,0.030127835995190855
7,-6.159999999999999,-12.319999999999997,-0.21502456384570134,0.05546311999999999,0.02805459245473277,-1.8595072393082697,-0.3967657123011634,-1.8166849321172929,0.030174222354916975
8,-7.039999999999999,-14.07999999999999,-0.2457423586808014,0.06279011999999999,0.03187385318318419,-2.1089033834012283,-0.513046523764399,-2.0455455861394083,0.03022789325870226
9,-7.919999999999999,-15.840000000000007,-0.2764601535159019,0.06933811999999999,0.03534003164386956,-2.333529208410121,-0.6369413140217546,-2.2449196709449106,0.030288913047672898
10,-8.799999999999999,-17.599999999999998,-0.307177948351002,0.07546912,0.038638890326707365,-2.5456032032301925,-0.7697137624546948,-2.4264452172228523,0.030357355205773873
11,-9.68,-19.359999999999992,-0.33789574318610205,0.08129512,0.04183021908536121,-2.748976650064824,-0.9112927896005001,-2.593533896871942,0.03043330257779731
12,-10.559999999999999,-21.120000000000008,-0.36861353802120256,0.08850012,0.04578789651876399,-3.000827417918152,-1.081265482450703,-2.799255284640894,0.030516847617001387
13,-11.439999999999998,-22.880000000000003,-0.3993313328563026,0.09461612,0.04924534274550825,-3.217798853823367,-1.2510878272202446,-2.964626234831012,0.03060809266371344
14,-12.319999999999997,-24.639999999999993,-0.4300491276914027,0.10013412,0.052455207408515024,-3.416481631825067,-1.424384001940554,-3.1053948147721706,0.030707150256501583
15,-11.439999999999998,-22.880000000000003,-0.3993313328563026,0.08526112,0.04437629737158857,-2.89964473507999,-1.1273887511680307,-2.6715041069436696,0.03060809266371344
16,-12.319999999999997,-24.639999999999993,-0.4300491276914027,0.09373411999999999,0.049102570690735946,-3.1981196744455,-1.3333455266194592,-2.9069157467527793,0.030707150256501583
17,-13.199999999999996,-26.399999999999984,-0.46076692252650275,0.10003611999999999,0.052769688988671064,-3.425030394036551,-1.5228890029662638,-3.0678400031159696,0.030814143477704812
18,-14.079999999999995,-28.15999999999998,-0.4914847173616028,0.10770911999999999,0.05724235915800611,-3.701508440752463,-1.7468728069340567,-3.2633725091316284,0.030929206335333692
19,-14.959999999999994,-29.919999999999995,-0.5222025121967033,0.11437412,0.06127001109840925,-3.9462228359029297,-1.9683377251805052,-3.4202808759271504,0.03105248418359535
20,-15.839999999999993,-31.67999999999999,-0.5529203070318034,0.12085011999999999,0.06528929242556457,-4.187340398111264,-2.1990849441000666,-3.563403572188674,0.03118413418455966
21,-16.71999999999999,-33.43999999999998,-0.5836381018669035,0.12788812000000002,0.06971418637231233,-4.4511212651008005,-2.452850194634693,-3.7142975701083913,0.03132432581377159
22,-17.59999999999999,-35.199999999999974,-0.6143558967020035,0.13389512,0.07368433861420459,-4.682348261970354,-2.699056853761175,-3.826156994497432,0.03147324141293065
23,-18.47999999999999,-36.959999999999994,-0.645073691537104,0.14087012000000002,0.07830226639022596,-4.9509706484156775,-2.9768073621387794,-3.9561001365220667,0.031631076793106366
24,-19.35999999999999,-38.719999999999985,-0.6757914863722041,0.14758812000000002,0.08290479502925864,-5.214459136191219,-3.2617226143292704,-4.068384159611909,0.03179804189234266
25,-20.239999999999988,-40.479999999999976,-0.7065092812073042,0.15481712,0.08793266595980521,-5.500198400021399,-3.5706329714136533,-4.183630316250668,0.0319743614919284
26,-19.35999999999999,-38.719999999999985,-0.6757914863722041,0.13665512000000002,0.07676339202165285,-4.8281835895145715,-3.0201014503598267,-3.7670073007086513,0.03179804189234266
27,-20.239999999999988,-40.479999999999976,-0.7065092812073042,0.14570312000000002,0.0827561175421776,-5.176404699313138,-3.360431742366995,-3.937342265534387,0.0319743614919284
28,-21.119999999999987,-42.23999999999997,-0.7372270760424042,0.15294412000000002,0.08788197618019337,-5.465250123531125,-3.67394665245421,-4.0461184989663215,0.03216027599608283
29,-21.999999999999986,-43.99999999999996,-0.7679448708775043,0.16006112,0.09309452382157,-5.75438262906286,-3.9973300601023642,-4.139356451462283,0.0323560422803275
30,-22.879999999999985,-45.75999999999998,-0.7986626657126048,0.16581712,0.09767361517640381,-5.99925135487561,-4.2980059724206745,-4.185470281821751,0.03256193461439957
31,-23.759999999999984,-47.51999999999997,-0.8293804605477049,0.17252412,0.10297901358088667,-6.2833755430077405,-4.634071884255745,-4.243369649938386,0.03277824566621158
32,-24.639999999999983,-49.27999999999999,-0.8600982553828054,0.17935312,0.10854341309072112,-6.577334784997084,-4.985005869711154,-4.290809871443615,0.03300528759409021
33,-25.519999999999982,-51.03999999999998,-0.8908160502179054,0.18677112,0.11466949813550979,-6.898784207961266,-5.3643919499993205,-4.337801580846943,0.033243393235341395
