20mm_2slope,20mm_1slope1,20mm_1slope2,20mm_2slope_trimmed
-0.001309,-0.005046,-0.006575,-0.00733
-0.001297,-0.005046,-0.00655,-0.007343
-0.001295,-0.005073,-0.006561,-0.007341
-0.001296,-0.005059,-0.006562,-0.00733
-0.001309,-0.005059,-0.006549,-0.007343
-0.001269,-0.005047,-0.006574,-0.007343
-0.001283,-0.005034,-0.00655,-0.00733
-0.00127,-0.005072,-0.006548,-0.007341
-0.001309,-0.00506,-0.006548,-0.00733
-0.00131,-0.005059,-0.006535,-0.007343
-0.001283,-0.005034,-0.006574,-0.007343
-0.001269,-0.005034,-0.006561,-0.007343
-0.001271,-0.005072,-0.006561,-0.007341
-0.001309,-0.005047,-0.006561,-0.00733
-0.001269,-0.005073,-0.006561,-0.007343
-0.00127,-0.005073,-0.006574,-0.007342
-0.001283,-0.005034,-0.006535,-0.00733
-0.001284,-0.005072,-0.006574,-0.007341
-0.001309,-0.005047,-0.006576,-0.00733
-0.00127,-0.005059,-0.006549,-0.00733
-0.001269,-0.005046,-0.006562,-0.007343
-0.001283,-0.005034,-0.006548,-0.007343
-0.001269,-0.005072,-0.006561,-0.007341
-0.001296,-0.005047,-0.006562,-0.00733
-0.001297,-0.005059,-0.006549,-0.007343
-0.001283,-0.00506,-0.006574,-0.007343
-0.001297,-0.005047,-0.006535,-0.007343
-0.00127,-0.005072,-0.006549,-0.007342
-0.001309,-0.005034,-0.006574,-0.00733
-0.001283,-0.005059,-0.006561,-0.007343
-0.001269,-0.005046,-0.006574,-0.007343
-0.001296,-0.005046,-0.006548,-0.00733
-0.00131,-0.005072,-0.006574,-0.007342
-0.001309,-0.005047,-0.006561,-0.007343
-0.001283,-0.00506,-0.006575,-0.007343
-0.001283,-0.005061,-0.006547,-0.007343
-0.001296,-0.00506,-0.006547,-0.00733
-0.001284,-0.005072,-0.006548,-0.007342
-0.001309,-0.005073,-0.006548,-0.00733
-0.00127,-0.005072,-0.006536,-0.007343
-0.001283,-0.005072,-0.006561,-0.007343
-0.001282,-0.00506,-0.006535,-0.007343
-0.001269,-0.005072,-0.006561,-0.007328
-0.001309,-0.005047,-0.006561,-0.00733
-0.001297,-0.005072,-0.006562,-0.007317
-0.001284,-0.00506,-0.006575,-0.007342
-0.001296,-0.005073,-0.006562,-0.007329
-0.001283,-0.005072,-0.006535,-0.007328
-0.001283,-0.005072,-0.006548,-0.00733
-0.001283,-0.005073,-0.006561,-0.007317
-0.00127,-0.005073,-0.006575,-0.007343
-0.001296,-0.005046,-0.006549,-0.007342
-0.001283,-0.005072,-0.006561,-0.007342
-0.001309,-0.005073,-0.006574,-0.00733
-0.001283,-0.005073,-0.006548,-0.007316
-0.001283,-0.005058,-0.00656,-0.007342
-0.001296,-0.005061,-0.006574,-0.007316
-0.001296,-0.005072,-0.006561,-0.007342
-0.001296,-0.005046,-0.00656,-0.007317
-0.001283,-0.005073,-0.006561,-0.00733
-0.001284,-0.005073,-0.00656,-0.007342
-0.001296,-0.005047,-0.006574,-0.007343
-0.001296,-0.005072,-0.006548,-0.007342
-0.001296,-0.005073,-0.006574,-0.00733
-0.001297,-0.00506,-0.006561,-0.007317
-0.001283,-0.005072,-0.006574,-0.007341
-0.001295,-0.005059,-0.006575,-0.007343
-0.001296,-0.005073,-0.006547,-0.007341
-0.001296,-0.00506,-0.006575,-0.00733
-0.001283,-0.005046,-0.006547,-0.00733
-0.001283,-0.005061,-0.00656,-0.007342
-0.001309,-0.005061,-0.006547,-0.007316
-0.00127,-0.005072,-0.006548,-0.007343
-0.001296,-0.005059,-0.006574,-0.00733
-0.001296,-0.005047,-0.006548,-0.007317
-0.001284,-0.005059,-0.006574,-0.007342
-0.001296,-0.005047,-0.006562,-0.00733
-0.001283,-0.005072,-0.006561,-0.007342
-0.001283,-0.005061,-0.006574,-0.007329
-0.001283,-0.005073,-0.006561,-0.007329
-0.00127,-0.005073,-0.006561,-0.007341
-0.001296,-0.005061,-0.006561,-0.007329
-0.00127,-0.00506,-0.006561,-0.007342
-0.001296,-0.005061,-0.006574,-0.007329
-0.001283,-0.00506,-0.006561,-0.007329
-0.00127,-0.005072,-0.006574,-0.007342
-0.001296,-0.005073,-0.00656,-0.007316
-0.00127,-0.005072,-0.006561,-0.007329
-0.001297,-0.005058,-0.006574,-0.00733
-0.001283,-0.005059,-0.006561,-0.007329
-0.001283,-0.005072,-0.006574,-0.007341
-0.001296,-0.005073,-0.006561,-0.007329
-0.001283,-0.005059,-0.006535,-0.007355
-0.001296,-0.00506,-0.006574,-0.007356
-0.001283,-0.00506,-0.006549,-0.007316
-0.00127,-0.005072,-0.006561,-0.007356
-0.001296,-0.005059,-0.006574,-0.00733
-0.00127,-0.005058,-0.006561,-0.007342
-0.001283,-0.005073,-0.006574,-0.007329
-0.001283,-0.005059,-0.006547,-0.00733
-0.001283,-0.005072,-0.006548,-0.007355
-0.001296,-0.005046,-0.006548,-0.007343
-0.001296,-0.005059,-0.006535,-0.007355
-0.001296,-0.005061,-0.006574,-0.007343
-0.001283,-0.00506,-0.006547,-0.007343
-0.001283,-0.005072,-0.006574,-0.007355
