16_10,32_10
0.000876,-0.000015
0.00085,-0.000015
0.000876,-0.000014
0.00089,0.000012
0.000877,0
0.000877,0.000013
0.000863,0.000013
0.000863,-0.000001
0.000863,-0.000001
0.000877,-0.000026
0.000863,-0.000001
0.00085,-0.000001
0.000863,-0.000014
0.000863,-0.000014
0.000863,-0.000013
0.000876,0.000013
0.000863,0.000013
0.000863,-0.000027
0.000876,0.000013
0.000876,-0.000027
0.000876,0
0.000863,-0.000014
0.000876,-0.000026
0.000863,-0.000001
0.000863,-0.000026
0.000863,0
0.000863,-0.000015
0.000876,-0.000014
0.000863,-0.000015
0.000876,-0.000013
0.000876,-0.000001
0.000863,0.000012
0.000876,-0.000014
0.000863,0
0.000877,0
0.000876,-0.000014
0.00085,-0.000015
0.000863,-0.000014
0.000863,-0.000014
0.000863,-0.000027
0.000876,-0.000001
0.000863,-0.000015
0.000863,-0.000014
0.000863,-0.000013
0.000876,-0.000026
0.000876,-0.000027
0.00085,-0.000001
0.000863,-0.000014
0.000863,-0.000014
0.000876,-0.000027
0.000876,-0.000013
0.000863,-0.000013
0.000875,-0.000026
0.000863,-0.000027
0.000863,-0.000026
0.000877,-0.000026
0.000851,-0.000027
0.000863,-0.000027
0.000863,-0.000014
0.000877,-0.000013
0.000863,-0.000014
0.00085,-0.000014
0.000863,-0.000013
0.000863,-0.000014
0.000863,-0.000027
0.000863,-0.000027
0.000864,-0.000014
0.000863,-0.000026
0.000876,-0.000014
0.000863,-0.000026
0.000862,-0.000026
0.000863,-0.000014
0.000862,-0.000014
0.000864,-0.000026
0.000864,-0.000026
0.000875,-0.000013
0.000863,-0.000014
0.000863,-0.000026
0.000863,-0.000015
0.00085,-0.000028
0.000863,-0.000028
0.000851,-0.000014
0.000876,-0.000026
0.000863,-0.000014
0.000863,-0.000027
0.000875,-0.000027
0.000877,-0.000015
0.000877,-0.000027
0.000876,-0.000015
0.000863,-0.000028
0.000863,-0.000014
0.000863,-0.000015
0.000876,-0.000026
0.00089,-0.000027
0.000876,-0.000027
0.000877,-0.000014
0.00085,-0.000014
0.000876,-0.000026
0.000876,-0.000027
0.000876,-0.000014
0.000863,-0.000027
0.00085,-0.000027
0.000876,-0.000013
0.000876,-0.000001
0.000863,-0.000013
0.000876,-0.000026
0.000863,-0.000001
0.000876,-0.000026
0.000877,-0.000015
0.00085,-0.000014
0.000877,-0.000027
0.000863,-0.000027
0.000876,-0.000026
0.000878,-0.000015
0.000877,-0.000015
0.000876,-0.000014
0.000864,-0.000015
0.000877,-0.000014
0.000877,-0.000015
0.000864,-0.000015
0.00089,-0.000027
0.000863,-0.000027
0.000863,-0.000026
0.000877,-0.000027
0.00085,-0.000026
0.000876,-0.000026
0.000863,-0.000027
0.000863,-0.000026
0.000877,-0.000027
0.00085,-0.000014
0.000876,-0.000026
0.000864,-0.000001
0.000876,-0.000027
0.000877,-0.000014
0.000877,-0.000015
0.00089,-0.000027
0.000863,-0.000014
0.000876,-0.000026
0.000876,-0.000015
0.000864,-0.000015
0.000863,-0.000027
0.000865,-0.000001
0.000863,-0.000013
0.000863,-0.000014
0.000864,-0.000014
0.000876,-0.000026
0.000876,-0.000027
0.000877,-0.000026
0.000863,-0.000001
0.000864,-0.000013
0.000877,-0.000027
0.000864,-0.000001
0.000863,-0.000014
0.000876,-0.000014
0.000863,-0.000028
0.00089,-0.000028
0.000891,-0.000015
0.00089,-0.00004
0.000876,-0.000027
0.000865,-0.000001
0.00089,-0.000026
0.000877,-0.000001
0.000876,-0.000028
0.000876,-0.000001
0.000863,-0.000015
0.000876,-0.000027
0.000863,-0.000014
0.000877,-0.000027
0.00089,-0.000001
0.000864,-0.000013
0.000876,-0.000026
0.00089,-0.000014
0.000863,-0.000027
0.000876,0
0.000876,-0.000014
0.000876,-0.000027
0.000864,-0.000028
0.000864,-0.000013
0.000864,-0.000027
0.000851,-0.000014
0.000877,-0.00004
0.000863,-0.000015
0.000864,-0.000026
0.000876,-0.00004
0.000864,-0.000028
0.000864,-0.00004
0.000863,-0.000041
0.00085,-0.000028
0.000876,-0.000028
0.000864,-0.000027
0.000876,-0.00004
0.000876,-0.000001
0.000877,-0.000014
0.000863,-0.000027
0.000851,-0.000014
0.000877,-0.000014
0.000876,-0.000014
0.000863,-0.000014
0.000863,-0.000014
0.000864,-0.000027
0.000863,-0.000026
0.000864,-0.000026
0.00085,-0.000027
0.000878,-0.000027
0.000865,-0.000028
0.000876,-0.000041
0.000877,-0.000001
0.000864,-0.000027
0.000863,-0.000041
0.000877,-0.000015
0.000877,-0.00004
0.000876,-0.000027
0.000877,-0.000027
0.000876,-0.000014
0.000864,-0.000014
0.000877,-0.000026
0.000877,-0.000028
0.000877,-0.000014
0.000877,-0.000027
0.000851,-0.000001
0.000864,-0.000028
0.000864,-0.000001
0.000851,-0.000015
0.000851,-0.000015
0.000852,-0.000001
0.000865,-0.000027
0.000864,-0.000015
0.000852,-0.000015
0.000864,-0.000028
0.000852,-0.000001
0.000864,-0.000027
0.000877,-0.000014
0.000852,-0.000014
0.000864,-0.000015
0.000865,-0.000001
0.000876,-0.000027
0.000876,-0.000014
0.000877,-0.000014
0.000876,-0.000027
0.000864,-0.000015
0.000863,-0.000027
0.000876,-0.000001
0.000851,-0.000015
0.000877,-0.000027
0.000851,-0.000001
0.000876,-0.000027
0.000863,-0.000015
0.000851,-0.000001
0.000864,-0.000027
0.000865,-0.000001
0.000878,-0.000014
0.000863,-0.000014
0.000865,-0.000015
0.00085,-0.000027
0.000865,-0.000014
0.000864,-0.000026
0.000877,-0.000014
0.000864,-0.000015
0.000877,-0.000028
0.000878,-0.000001
0.000877,-0.000015
0.000877,0
0.000852,-0.000014
0.000877,-0.000027
0.000876,-0.000001
0.000877,-0.000001
0.000877,-0.000001
0.000865,-0.000015
0.000877,-0.000027
0.000864,-0.000014
0.000877,0
0.00089,-0.000001
0.000865,-0.000001
0.000877,-0.000014
0.000877,-0.000015
0.00089,-0.000014
0.000877,-0.000001
0.000864,-0.000001
0.000877,0
0.000864,-0.000014
0.000877,-0.000014
0.000891,-0.000001
0.000877,0
0.000877,-0.000027
0.000864,-0.000001
0.000864,-0.000027
0.00089,-0.000014
0.000877,-0.000001
0.000877,-0.00004
0.000877,-0.000015
0.000877,-0.000028
0.000877,-0.000014
0.000877,-0.000001
0.00089,-0.000027
0.00089,-0.000027
0.000891,-0.000027
0.000877,-0.000028
0.000864,-0.000001
0.000877,-0.000014
0.000877,-0.000014
0.000877,-0.000027
0.000876,-0.000027
0.000877,-0.000015
0.000877,-0.000027
0.000877,-0.000028
0.000864,0
0.00089,-0.000041
0.000864,-0.000014
0.000864,-0.000027
0.000878,-0.000001
0.000863,-0.000014
0.000877,-0.000015
0.000864,-0.000014
0.000877,-0.000013
0.000891,-0.000015
0.000877,-0.000014
0.000877,-0.000015
0.000877,-0.000028
0.000864,-0.00004
0.000864,-0.000014
0.000864,-0.000027
0.000877,-0.000014
0.000877,-0.000027
0.000891,-0.000014
0.000877,-0.000014
0.000864,-0.000014
0.000864,-0.000014
0.000851,-0.000014
0.000877,-0.000027
0.000877,-0.000015
0.000877,-0.000028
0.000877,-0.000027
0.000864,-0.000014
0.000877,-0.000027
0.000877,-0.000014
0.000864,-0.000015
0.000877,-0.000027
0.000877,-0.000014
0.000877,-0.000027
0.000877,-0.000014
0.000851,-0.000001
0.000864,-0.000026
0.000851,-0.000014
0.000877,-0.000027
0.000877,-0.000014
0.000864,0
0.000891,-0.000026
0.000865,-0.000013
0.000878,-0.000027
0.000877,-0.000014
0.000865,0
0.000891,-0.000013
0.000851,-0.000014
0.000877,-0.000014
0.000877,-0.000014
0.000851,-0.000001
0.000877,-0.000027
0.000864,-0.000014
0.000877,-0.000027
0.000891,-0.000027
0.000864,-0.000001
0.000877,-0.000027
0.000877,-0.000015
0.000877,-0.000027
0.000891,-0.000027
0.000851,-0.000027
0.000878,-0.000027
0.000852,-0.000014
0.000877,-0.000014
0.000865,-0.000013
0.000851,-0.000013
0.000864,-0.000026
0.000865,-0.000013
0.000877,-0.000013
0.000879,-0.000014
0.000865,-0.000014
0.000877,-0.000027
0.000891,-0.000014
0.000891,-0.000027
0.000877,-0.000027
0.000864,-0.000014
0.000877,-0.000014
0.000864,-0.000027
0.000877,-0.000027
0.000878,-0.000014
0.000864,-0.000001
0.000864,-0.000014
0.000865,-0.000027
0.000877,-0.000001
0.000878,-0.000001
0.000864,-0.000015
0.000878,-0.000027
0.000877,-0.000027
0.000878,-0.000027
0.000864,-0.000013
0.000851,-0.000014
0.000865,-0.000027
0.000851,0
0.000877,-0.000015
0.000877,-0.000014
0.000865,-0.000014
0.000864,-0.000014
0.000865,-0.000027
0.00089,-0.000015
0.000863,-0.000028
0.000851,-0.000014
0.000891,-0.000027
0.000864,-0.000014
0.000877,-0.000014
0.00089,-0.000014
0.000852,-0.000014
0.000878,-0.00004
0.000877,-0.000015
0.000864,-0.00004
0.000877,-0.000014
0.000852,-0.000027
0.000877,-0.000026
0.000877,-0.000014
0.000864,-0.000027
0.000877,-0.000013
0.000852,-0.000014
0.000865,-0.000026
0.000865,-0.000013
0.000864,-0.000015
0.000877,-0.000027
0.000852,-0.000014
0.000877,-0.000027
0.000877,-0.000015
0.000891,-0.000014
0.000864,-0.000013
0.000865,-0.000027
0.000877,-0.00004
0.000877,0
0.000877,0
0.000877,-0.000027
0.000864,-0.000014
0.000877,-0.000027
0.000877,0
0.000865,-0.000014
0.000877,-0.00004
0.000852,-0.000028
0.000877,-0.00004
0.000877,-0.000014
0.000878,-0.000014
0.000877,-0.00004
0.000864,-0.000014
0.000864,-0.000026
0.000877,-0.000013
0.000877,0
0.00089,-0.000027
0.000865,-0.000014
0.000878,-0.000014
0.00089,-0.000001
0.000877,-0.000014
0.000877,-0.000027
0.000851,-0.000014
0.000877,-0.000027
0.000864,0
0.000864,-0.000001
0.000864,-0.000026
0.000866,-0.000014
0.000877,0
0.000877,-0.000014
0.000865,-0.000014
0.000878,-0.000014
0.000865,0
0.000878,-0.000014
0.000877,0
0.000865,0
0.00089,-0.000013
0.000878,0
0.000877,-0.000013
0.000877,-0.000013
0.000865,0
0.000877,0
0.000851,-0.000001
0.000864,-0.000001
0.000877,-0.000014
0.000851,0
0.000877,0
0.000865,-0.000001
0.000877,0
0.000877,0
0.000865,-0.000001
0.000878,-0.000014
0.000865,0
0.000864,0
0.000877,-0.000014
0.000851,-0.000014
0.000877,-0.000027
0.000863,-0.000013
0.000877,-0.000027
